prompt,answer
"In response to Ho Chi Minh's victory over the French in 1954, the Geneva Conference",split Vietnam into a communist north and democratic south
"The war that followed the formation of the Jewish state of Israel resulted in all of the following, EXCEPT",Israeli control of the West Bank
Mikhail Gorbachev's policy of perestroika was an attempt to stabilize the Soviet Union by,restructuring the economy
Which of these has been the MOST important factor in the rise of globalized trade?,Breakdown of protective tariffs
The Declaration of Human Rights issued by the United Nations in 1948 explicitly stated that all human beings have the right to,"life, liberty, and security of person"
Which terrorist incident was the first to receive major mainstream media attention?,Israeli athletes at Munich
Which of these is the MOST significant cause of global warming?,Burning of fossil fuels
In 1997 the United Nations attempted to address the issue of global warming by,producing a treaty meant to help control greenhouse gases
The South African policy of apartheid was specifically designed to,ensure Afrikaners political dominance of the country
Which modern fields have been most affected by the accomplishments of the ancient Greeks and Romans?,Politics and government
"In European history, the term Lebensraum, or ""living space,"" most commonly refers to the",German desire for expansion in the twentieth century
Conflicts between which two religions resulted in the Edict of Nantes (1598)?,Roman Catholicism and Protestantism
What was the primary motivation for most Irish citizens who immigrated to North America in the nineteenth century?,Escape national famine
"In the Hindu caste system, members of the Shudra caste originally served as",servants and workers
The Olmec civilization occupied the modern-day lands known as,Southern Mexico's Gulf Coast
"""Whatsoever therefore is consequent to a time of war, where every man is enemy to every man, the same consequent to the time wherein men live without other security than what their own strength and their own invention shall furnish them withal. In such condition there is…continual fear, and danger of violent death; and the life of man, solitary, poor, nasty, brutish, and short."" The above statement expresses the views of which historical figure?",Thomas Hobbes
Japan underwent change during the Meiji Restoration that most closely resembled change in,Russia during the reign of Czar Peter I
"The Duma, active in Russia from 1906 to 1917, can BEST be described as a/an",elected legislative body
The Byzantine Empire collapsed after more than one thousand years in existence primarily because of the,Ottoman conquest of Constantinople in 1453
Books such as George Orwell's Nineteen  Eighty-Four and Aldous Huxley's Brave New World are major twentieth-century examples of what literary form?,Dystopian novel
The practice of offshoring by industrialized countries in the twentieth century generally values all of the following EXCEPT,domestic economic development
The introduction of agriculture most significantly affected formerly nomadic societies by,increasing the density of the population
Which country claimed the colony of Madagascar as a possession until an ongoing freedom movement led to its independence in 1960?,France
"When issued in 1215, the Magna Carta established the legal principle of",due process of law
Which religion developed in India alongside Buddhism around the sixth century BCE in response to religious speculation over Hinduism?,Jainism
"In the Paraguayan War beginning in 1864, Paraguay fought against the combined forces of","Uruguay, Argentina, and Brazil"
In what year were Upper and Lower Canada united?,1841
The medieval African empire of Ghana thrived because of its intermediary position between the,traders of salt and traders of gold and ivory
The Chinese imperial palace used by rulers from the Ming through the Qing dynasties was known as the,Forbidden City
The ziggurats of ancient Mesopotamia most closely resembled the,pyramids of the Egyptians
A twentieth-century territorial dispute over control of the province of Kashmir resulted in conflict between India and,Pakistan
Which of these was NOT true of the pharaohs of ancient Egypt?,They were required to be male.
The opium trade between Britain and China arose primarily due to,European interest in trading with China
How was the Great Schism in Roman Catholicism resolved in the fifteenth century?,The Council of Constance chose to recall popes.
The theology of Judaism MOST differed from other early religions due to its belief in,monotheism
What was the primary difference between the artistic movements of romanticism and classicism?,Romanticism stressed the importance of feelings and emotions.
Which of these was an important virtue in Daoism?,Eliminating all earthly desires
The Rosetta stone was important in,deciphering Egyptian hieroglyphics using Greek translations
Pope Benedict VIII made a lasting change to Roman Catholic doctrine in 1022 when he passed a declaration that,instituted a celibacy requirement for clergy
Which ancient civilization most likely pioneered the production and use of iron around 2500 BCE?,Hittites
The individual political struggles of Nelson Mandela and Mahatma Gandhi were MOST similar in that they,fought against oppressive governments that encouraged racism
"By the year 1100 CE, the strongest Norman influence was felt in which modern regions?","England, Italy, and France"
"The Paleolithic Era was distinguished by the use of stone tools, while the Neolithic Era was distinguished by",advances in agriculture
"The medieval cities of Venice, Italy, and Tenochtitlán, Mexico, were MOST similar in that they",were constructed on top of islands
Which of these is the BEST example of the practice known as total war?,Bombing of civilian centers to destroy an enemy's ability to continue fighting
"""Respectfulness, without the rules of propriety, becomes laborious bustle; carefulness, without the rules of propriety, becomes timidity; boldness, without the rules of propriety, becomes insubordination; straightforwardness, without the rules of propriety, becomes rudeness."" The above excerpt expresses the viewpoint of",Confucius
Which of these statements about the practice of slavery in ancient and medieval civilizations is NOT true?,Enslaved people were almost exclusively black Africans.
The main goal of the 1848 meeting among liberal leaders in Frankfurt am Main was to,promote the unification of German states
European imperialist powers competed for influence in Egypt during the nineteenth century primarily because of the,importance of the Suez Canal
Which of these religions does NOT view the state of nirvana as the ultimate spiritual goal?,Islam
"The White Lotus society, most active in China between the seventeenth and twentieth centuries, is BEST characterized as a",religious sect
Which two countries did James I rule concurrently from 1603 to 1625?,England and Scotland
Which of these was the MOST significant accomplishment of the Phoenician civilization?,Invention of an alphabet for syllabic writing
The nation called Ceylon by British colonizers became known in the postcolonial period as,Sri Lanka
"""We intend to begin on the first of February unrestricted submarine warfare. We shall endeavor in spite of this to keep the United States of America neutral. In the event of this not succeeding, we make Mexico a proposal of alliance on the following basis: make war together, make peace together, generous financial support and an understanding on our part that Mexico is to reconquer the lost territory in Texas, New Mexico, and Arizona."" In what document did the above excerpt originally appear?",Zimmermann telegram
All of these led to the Industrial Revolution in Britain EXCEPT a,lack of being a colonial power
The Taiping Rebellion was similar to the communist takeover in China in that both events,called for the equal distribution of property and rights
Which world calendar was created most recently?,Gregorian calendar
The actions of the Luddites MOST strongly supported the social perspective that,industrial technology may be a detriment to workers
The medieval African emperor Mansa Mūsā was most notable for his,opulence and enrichment of Timbuktu
The Silk Roads were indirectly responsible for spreading,Buddhism in China
"Which system of writing was primarily used in the languages of Hindi, Sanskrit, and Nepali?",Devanagari
Captain James Cook contributed most significantly to the power of the British Empire by,claiming Australia for the British crown
"In the twentieth century, Manfred von Richthofen came to be generally recognized as a symbol of the",last vestiges of military chivalry
"""O, my brothers, love your Country!…It is only through our country that we can have a recognized collective existence…Let each man among you strive to incarnate his country in himself. Let each man among you regard himself as a guarantor, responsible for his fellow-countrymen, and learn so to govern his actions as to cause his country to be loved and respected through him."" Which theory is best exemplified in this excerpt from the work of Giuseppe Mazzini?",Nationalism
Which philosopher died after being convicted of corrupting the youth of Athens in 399 BCE?,Socrates
Mumbai was a world leader in which industry during the middle of the nineteenth century?,Cotton textiles
The primary result of the Third Crusade was the,Christian failure to regain Jerusalem
All of these took place in Brazil during the reign of Pedro II (1831-89) EXCEPT a/an,"backlash against the ""coffee government"""
Which of these leaders was MOST influential in the establishment of an Islamic government in modern Iran?,Ayatollah Rūh ?allāh Khomeynī
"In African tradition, elaborately carved and decorated wooden masks are most likely to be employed during",ceremonies of spirits and religion
"In 212 CE, Roman citizenship was extended to",all free inhabitants of the empire
The events that took place at Masada in 72-73 CE showed that the early Jews of Israel were,determined defenders of their homeland
Which of these shows the correct chronological order in which different types of metals were discovered and used?,"Copper, bronze, iron, steel"
London was originally developed from a village into a major walled city by the,"Romans, circa 43 CE"
The kingdom of Great Zimbabwe was most notable in the African Iron Age for its extensive system of,walls and stonework
The Russo-Japanese War became the first event in modern history in which,an Asian nation achieved victory over a European power
The writings of Charles Dickens were BEST known for their criticism of,economic inequality and poverty
"In ancient times, the most common route for the Chinese to trade with the Roman Empire and Europe was",Silk Roads
"The Four Noble Truths, traditionally believed to have been articulated by the Buddha in his first sermon after enlightenment, include all of the following EXCEPT",dissemination of beliefs is necessary to a religion
"Chinese leader Kublai Khan was known for all of the following, EXCEPT",introducing Buddhism to China
"In seventeenth-century Holland, a major economic bubble resulted from speculative frenzy over the sale of",tulips
Which of these was the primary obstacle to French construction of the Panama Canal in the 1880s?,Diseases carried by mosquitoes
"The Chinese concept of  t'ien ming, or mandate of heaven, most closely resembled the European ideal of",divine right of kings
Which of these does NOT describe one of the reasons Mexico declined an alliance with Germany during World War I?,Mexican ships felt too threatened by German U-boats.
Ancient imperialism MOST differed from modern imperialism in that,modern imperialism is focused primarily on industrialist pursuits
The Songhai Empire in Western Africa collapsed in 1591 as an immediate result of,an invasion by Morocco into the Songhai territory
Alchemy is best defined as the practice of,attempting to transform metals and find immortality
The 1955 Warsaw Pact created a communist counterbalance to the,North Atlantic Treaty Organization
"The Zapatista National Liberation Army, which arose in Mexico in the 1990s, chose the name Zapatista to evoke the",spirit of peasant rebellion
Which of these was primarily responsible for the tensions between China and Great Britain that led to the Anglo-Chinese War in 1839?,British importation of opium into China
"""The heart of the idea of the social contract may be stated simply: Each of us places his person and authority under the supreme direction of the general will, and the group receives each individual as an indivisible part of the whole."" Which of these would be LEAST likely to agree with the statement above?",Thomas Hobbes
The Crusades had all of the following effects on Europe EXCEPT a/an,decline of trade between Europe and the East
Japan and the countries of Western Europe were most similar around the thirteenth century in that both,developed intricate feudal systems
The influence of Minoan culture on Mycenaean culture was MOST evident in the Mycenaean,written language
"In 1975, the Khmer Rouge, led by Pol Pot, attempted to establish communist rule in which country?",Cambodia
"The Balfour Declaration, issued by Britain in 1917, clarified England's position on the",establishment of a Jewish state in Palestine
"In 1908, facing international criticism for his harsh treatment of the Congolese in the Congo Free State, King Leopold II was forced to",cede control of the Congo Free State to the Belgian government
The Upanishads contain the core philosophy and central teachings of which world religion?,Hinduism
Which of the following was a significant change instituted during the reign of the 'Abbāsid Empire?,Non-Arab Muslims were allowed to hold civil and military office.
Early human cultures in the Paleolithic Age were characterized by all of these EXCEPT the,emergence of agriculture
The Ottoman policy of devsirme primarily served to,increase military manpower
Which of these was NOT one of the global effects of the Industrial Revolution?,Decline in the colonization of foreign territories by industrial powers
Who led the South American struggle for independence from Spain?,Simón Bolívar
"After solidifying his control over Russia following civil war in 1918, Lenin's immediate goal was to",stabilize the Russian economy
Early Vietnamese resistance to the French imperialists who controlled their country was primarily a response to,destructive agricultural policies
The city of Great Zimbabwe and the kingdom of Aksum were MOST similar in that both,thrived on income derived from trade routes
"During the expansion of the Muslim Empire in the seventh century, all of these were true EXCEPT",conquered people of Christian or Jewish faiths were required to submit to military service
The native Japanese religion of Shinto is primarily focused on,ancestral veneration
Which of these was NOT true of the spread of Islam in eastern and central Africa?,African women readily accepted Islam's traditional attitudes toward women.
The spread of ancient Greek culture throughout the Mediterranean region was primarily the result of Greece's,unique geography
"""It is the State which educates its citizens in civic virtue, gives them a consciousness of their mission and welds them into unity."" This quote was most likely spoken by a leader who supported what philosophy of government?",Fascism
The concept of the mandate of heaven provided a rationalization for,transferring power from one dynasty to another
The Incan civilization was unique among pre-Columbian civilizations most notably because the Inca,built an advanced system of roads
"For the majority of the eighteenth century, South Africa was controlled by the",Dutch
Fear over the domino theory led the United States to enter which military conflict?,Vietnam War
Which of these Roman authors produced both the Annals and Germania?,Tacitus
"Both England and Egypt experienced all of the following as a result of the Industrial Revolution, EXCEPT",commercial agriculture profits
The earliest significant civilization in Mesoamerica developed around the settlement of,Tikal
Japan turned to militarism in the 1930s primarily as a result of the,belief that democracy had failed
"In order to restore peace in Europe after the Napoleonic Wars, the Congress of Vienna did all of the following EXCEPT",require France to disband its military
The Later Ly dynasty incorporated many aspects of the Chinese bureaucratic and civil service practices as it established a new centralized form of government in present-day,Vietnam
"During his reign, Alexander the Great conquered all of the following EXCEPT",India
The Maoist version of communism practiced in China during the 1950s and 1960s differed from the concurrent Soviet version of communism in that it,viewed the proletariat as a nation rather than a class
Which civilization's code of law was written in the Twelve Tables?,Rome
Which of these BEST describes the Taiping Rebellion?,Religious and political civil war
"Among the Bantu-speaking peoples of Africa, the term griots referred to",storytellers
The navigator Ferdinand Magellan is most famous for,being the first person to circumnavigate the globe
Which of these BEST describes the Mensheviks and the Bolsheviks in early-twentieth-century Russia?,"The Mensheviks believed in working with the bourgeois, while the Bolsheviks believed in immediate revolution against them."
"In the mid-1800s, the southeastern port of Singapore was controlled by the",British
The campaign for Mexican independence from Spain was different from other political revolts in the Americas in that it was,started by mestizos instead of the Creole class
The signing of the Treaty of Tordesillas served to,grant Spain exclusive rights to all land discovered in the New World
"""Whose government is unostentatious, quite unostentatious, his people will be prosperous, quite prosperous. Whose government is prying, quite prying, his people will be needy, quite needy."" The above quotation reflects the central view of government espoused by which spiritual philosophy?",Daoism
From which region did the cuneiform method of writing emerge?,Mesopotamia
The African kingdom of Ghana fell into decline during the eleventh century primarily as a result of,invasion by foreign conquerors
Which crop's cultivation led to the rise of the Khmer Empire in the region known today as Cambodia?,Rice
What was the primary reason Russia ended its involvement in World War I?,The internal political dissent against the czarist government
All of these emerged during the reign of the Gupta Empire in India EXCEPT,tradition of viewing cows as sacred
The ancient African city of Meroe became a major trading center between 250 BCE and 150 CE due to production of,iron
All of the following were true of the Roman army EXCEPT,the government was responsible for providing the army with weapons
"In the eighteenth century, Prussia rose to prominence under the leadership of the",Hohenzollerns
The culture of the Bantu people evolved and spread throughout Africa primarily as a result of,migration
Which of these BEST describes parallel descent as it was practiced by the Inca in the sixteenth century?,"Males inherited from the father, while females inherited from the mother."
Which issue did the 1997 Kyoto Protocol address?,Global warming
The Korean and Vietnam wars of the twentieth century were MOST similar in that they,resulted from a desire to prevent the spread of communism
"After being installed as dictator, Julius Caesar did all of the following EXCEPT",declared himself a monarch
"When Spanish conquistadors entered South America in the 1500s, they were able to conquer the Inca with relative ease because of the Inca's weakness from",civil war
Which of these was true of both Sparta and Athens?,They denied female participation in politics.
The overthrow of the Qing dynasty in China in 1912 was primarily the result of,rising nationalistic sentiment
"In the 1500s, which Southeast Asian nation was a Spanish colony that helped facilitate trade with Mexico?",Philippines
The collapse of the Carolingian dynasty in the 800s quickly led to the,introduction of the feudal system
Lutheranism and Calvinism were LEAST similar in regard to views on the,ability of individuals to affect their fate
With which statement would an adherent to the philosophy of cynicism be MOST likely to agree?,Life should be lived simply and without material attachments.
"The world peacekeeping organization known as the League of Nations and its successor, the United Nations, are MOST different in that the",United Nations formed a military division to enforce its policies
In 1521 Hernán Cortés led the Spanish conquest of which Mesoamerican culture?,Aztec
"""Wild and blasphemous ideas of God are formed because man has wandered away from the unchangeable laws of science, and the right use of reason; and because something called revealed religion was invented."" The above statement MOST reflects the ideology of which intellectual movement?",Deism
The Greater East Asia Co-Prosperity Sphere was primarily designed by Japan to,secure an adequate supply of raw materials
The Greek philosopher who developed a teaching methodology based on systematic questioning was,Socrates
"While they controlled China, the Mongols were unsuccessful in their attempts to extend their empire into Southeast Asia primarily because",the regional climate was extremely inhospitable
The written language of the Mycenaeans was based on that of the,Minoans
Which of these BEST describes the type of protectorate commonly found in imperial-controlled Africa?,A region allowed to maintain its government while under imperial control
Which of these does NOT accurately describe a similarity between the peoples of ancient Egypt and the Indus River valley?,They drove out a foreign occupation force.
"During their conquest of Mesoamerica, the Spaniards utilized the encomienda system, which allowed them to",require the natives pay tribute and perform labor
Which of these was the most important point of agreement between Woodrow Wilson's Fourteen Points and the Treaty of Versailles?,An international peacekeeping organization should be established.
The separation of the Shia sect of Islam from the larger Sunni sect was primarily the result of disputes over the,line of succession following the death of Muhammad
Which factor contributed the MOST to the rise of the Fascist Party under Benito Mussolini in Italy?,Frustration with Italy's lack of territorial gains after World War I
Which of these was NOT true of the Han dynasty?,It began early construction on the Great Wall.
What was the major goal of the Concert of Europe?,To prevent future revolutions by maintaining the status quo
What inference can BEST be made from the information in the chart shown?,The Roman occupation of England significantly influenced the development of the English language.
Why did the government installed in South Vietnam in 1954 by France and the United States ultimately fail?,The government was corrupt and unpopular with the Vietnamese people.
In which way were the ancient Chinese philosophies of Confucianism and legalism MOST similar?,They emphasized the importance of strong government.
The concept of humanism was a key characteristic of the,Renaissance
"The Petition of Right, which was drafted in 1628, attempted to restrict Charles I from doing any of the following EXCEPT",suspending a law passed by Parliament
The concept of a state ruled by philosophers and built on a structure of class divisions determined by intelligence was most strongly supported by,Plato
"Which of the following is the most important aspect of the samurai code of conduct, known as the bushido?",Loyalty to the feudal lord
"""It has been thought a considerable advance towards establishing the principles of Freedom to say that Government is a compact between those who govern and those who are governed; but this cannot be true, because it is putting the effect before the cause; for as man must have existed before governments existed, there necessarily was a time when governments did not exist, and consequently there could originally exist no governors to form such a compact with. The fact, therefore, must be that the individuals, themselves, each, in his own personal and sovereign right, entered into a compact with each other to produce a government: and this is the only mode in which governments have a right to arise, and the only principle on which they have a right to exist."" The text above was part of a pamphlet written in support of which of the following?",French Revolution
Chinese trade during the Song dynasty was most strongly influenced by the,invention of the magnetic compass
The political theories of communism and fascism share all of the following tenets EXCEPT,dissolution of social classes
Which of the following is the most direct cause of World War I?,Assassination of Franz Ferdinand
Which of the following was made clearer to modern scholars after the discovery of the Rosetta stone in 1798?,Written language of ancient Egyptians
"""We shall not flag or fail. We shall go on to the end. We shall fight in France, we shall fight on the seas and oceans, we shall fight with growing confidence and growing strength in the air, we shall defend our island, whatever the cost may be. We shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills; we shall never surrender."" The quotation above referenced the hard fighting in which of the following wars?",World War II
All of the following are true about the people of ancient Mali EXCEPT,they organized villages on the basis of kinship
The creation story contained in the Popol Vuh was written by the,Maya
British imperialism in India resulted in all of the following EXCEPT,increased productivity in native industries
"The Mongolian occupation of China, which occurred during the thirteenth and fourteenth centuries, improved China's economic stability by",making travel on trading routes safer
Which factor played an important role in the escalations of both the French and Russian revolutions?,Oppressive monarchical rule
Which of the following answers lists the wars in the correct chronological order?,"Hundred Years' War, Thirty Years' War, Crimean War, Boer War"
Which of the following would a believer in legalism LEAST LIKELY support?,Equal access to education
"""What the bourgeoisie, therefore, produces, above all, is its own grave-diggers. Its fall and the victory of the proletariat are equally inevitable."" The statement above MOST clearly reflects a major tenet of which political philosophy?",Communism
"""However well educated and clever a native might be, andhowever brave he may prove himself, I believe that no rank wecan bestow on him would cause him to be considered an equalof the British officer."" —Lord Kitchener, British military commander in India This statement supports which of the following generalizationsabout colonial powers and the native populations they govern?",Colonial powers often viewed themselves as racially superior to native populations.
The United Nations deployed an international military force in South Korea in 1950 primarily because,North Korean troops had crossed the 38th parallel into South Korean territory
"According to the traditional Hindu caste system, an unskilled worker would be considered part of which class?",Shudra
Ho Chi Minh returned to Vietnam in 1941 and founded the Vietminh in response to a crisis primarily concerning,French colonial control over Vietnam
Which of the following occurred during the New Kingdom period of ancient Egyptian history?,Expulsion of the Hyksos
Which of the following was true of both the Kush and the Bantu-speaking people of ancient Africa?,Both developed ironworking to make iron-tipped weapons and tools.
The Battle of Trafalgar was a key naval victory for the British in their war against,France
All of the following are true about the Inca civilization EXCEPT,they demanded that neighboring communities pay them tributes as a means of funding their imperial expansion
"The Taj Mahal in Agra, India, was originally built to serve as a",tomb
"During the Punic Wars, Rome fought in three separate campaigns against the",Carthaginians
Which country did Britain establish in Asia before India earned its independence in 1947?,Pakistan
All of the following were factors in the decline of both the Roman Empire and the Han dynasty EXCEPT,violence from political resistance groups within their borders
"In the nineteenth century, which region of colonial Southeast Asia was an independent nation that served as a ""buffer zone"" between other imperially governed states?",Siam
The city of Great Zimbabwe rose to prominence during the thirteenth century primarily as a result of its,control of a key trading route
is mere human talk to preach that the soul flies out [ofpurgatory] immediately [when] the money clinks in thecollection box. 36. Which of the following religious leaders most likely made the statementabove?,Martin Luther
The Neolithic Revolution was a fundamental shift in the human way of life during the prehistoric era that was primarily marked by the,development of agricultural techniques
Which Mesoamerican culture used chinampas to increase the amount of agricultural land available for use in its capital city?,Aztec
"An interest in natural resources and commodities such as oil, tin, and rubber led the Dutch to colonize which region of Southeast Asia starting in the seventeenth century?",Indonesia
Which of the following modern countries is NOT matched with the imperial power that once controlled it?,Cambodia → Mongol Empire
"In his 1776 book The Wealth of Nations, economist Adam Smith advocated the laissez-faire economic philosophy and specifically condemned",mercantilism
Which of the following Chinese dynasties instituted the first civil service examination?,Han
The Four Noble Truths form the basis of which major Eastern religion?,Buddhism
Which of these answers best describes how Germany and Japan were similar in the lead-up to World War II?,Both nations were interested in territorial expansion for economic gain.
The Spanish settlers who governed colonies in Mesoamerica imported Africans as a source of labor instead of enslaving Native Americans primarily because,Africans were more resistant to disease than Native Americans
"""At this point one may note that men must be either pamperedor annihilated. They avenge light offenses; they cannot avengesevere ones; hence, the harm one does to a man must be suchas to obviate any fear of revenge."" The quotation above is taken from which of the following?","The Prince, Niccolò Machiavelli"
"Aside from gold, the most valuable and highly traded commodity inthe West African kingdom of Ghana was",salt
All of the following are examples of trading agreements EXCEPT,OPEC
"The Chinese ruled over Vietnam between roughly the first andtenth centuries CE. During this period, the Chinese encounteredthe most resistance from the Vietnamese when they attempted to",de-emphasize the role of women in Vietnamese society
The rise of feudalism in Western Europe was primarily the result of,fear of attack from foreign invaders
"The term ""American Indians"" is a misnomer because the people it designates",did not inhabit the East Indies
Which of the following contributed the most to the founding and success of the Iroquois Confederacy?,The fact that the tribes all belonged to the same nation
Which nation has had the greatest influence on modern American culture?,England
A major reason that the Europeans succeeded in dominating the Native Americans and gradually taking over their land because,their weapons were more sophisticated and deadly
Why did the settlers of Massachusetts Bay found Harvard College?,They were concerned to educate future ministers of their church.
The most important difference between Pennsylvania and the Massachusetts Bay Colony was that Pennsylvania,was not ruled by a theocracy
The success of Southern plantations led to the increase of which of the following?,The African slave trade
Which of the following events was most responsible for the eventual disappearance of theocracy in Massachusetts?,The Salem witchcraft trials
The Navigation Acts of the 1650s had all the following purposes EXCEPT:,to increase imports to the colonies while decreasing exports
A principal consequence of the Glorious Revolution in Britain was that,the New England colonists threw Edmund Andros out of office
The abolitionist movement had difficulty gaining supporters in the early1800s because,Northern whites could ignore the wrongs of the slave system in the South and Southerners found it too profitable to end
Which of the following people probably had the hardest and most thankless life in the colonies?,A female slave
Britain defended the colonists against the French primarily because,Britain was protecting its own investment in the colonies
George Washington found the job of commander in chief of the colonial army thankless and exhausting for all the following reasons EXCEPT:,his lack of enjoyment of or interest in the military life
The two maps in this chapter illustrate which result of the French and Indian War?,Britain more than doubled the size of its holdings in North America.
Before 1754 French activity in North America was directed primarily toward,establishing the fur trade with the Native Americans
The First Continental Congress was convened primarily to,discuss a unified colonial response to the Intolerable Acts
Why had Great Britain failed to enforce the Navigation Acts before 1763?,British representatives found it impossible to enforce laws that so many colonists were determined to ignore.
The Sons of Liberty disguised themselves as Native Americans on the night of the Boston Tea Party for all these reasons EXCEPT:,They hoped that Native Americans would be blamed for the storming of the Dartmouth.
Paul Revere chose to distort the facts in his engraving of the Boston Massacre primarily to,"unite people from all the colonies against the aggressor, Britain"
"Why did the Northern delegates allow the removal from the Declaration of Independence a passage referring to the slave trade as a ""cruel war against human nature""?",They thought the Southerners would not vote for independence if that passage was not removed.
General Howe was determined to capture the city of Philadelphia primarily because,it was the capital city and such a capture would be prestigious
Which of the following lists the battles in the correct chronological order?,"Brandywine, Saratoga, Monmouth"
What was the primary purpose of the Olive Branch Petition?,To ask King George III to bring about a reconciliation between Parliament and the colonies
The Articles of Confederation,did not provide for an executive or judicial branch of the national government
James Madison objected to the Articles of Confederation on all these grounds EXCEPT:,Congress included delegates from each state.
All the following were direct or indirect consequences of the Articles of Confederation EXCEPT:,The United States acquired a large war debt.
The Antifederalists opposed the Constitution primarily because,they did not want the central government to have too much control over the states
Which of the following wrote the majority of the Federalist Papers?,Alexander Hamilton
Why did the delegates agree to keep the proceedings of the Constitutional Convention secret?,They did not want to be subjected to any outside pressures or influences.
All the following were important influences on the framers of the Constitution EXCEPT:,the Federalist Papers
Around which two central figures were the Federalist and Democratic-Republican parties organized?,Alexander Hamilton and Thomas Jefferson
What was the major aim of George Washington's foreign policy?,To remain friendly with but neutral toward all nations
What was the Democratic-Republican response to the passage of the Alien and Sedition Acts?,The Virginia and Kentucky resolutions
All the following major changes first occurred in U.S. society between 1790 and 1825 EXCEPT:,Political leaders began disagreeing over the question of slavery.
The Missouri Compromise stated all the following EXCEPT:,No future state would be admitted to the Union as a slaveholding state.
How did the invention of the cotton gin affect the South?,"The economy boomed because one gin could do the work of 1,000 slaves."
What was the purpose of the Monroe Doctrine?,To warn European nations not to invade or colonize the western hemisphere
"Who among the following did not belong to the literary community in Concord, Massachusetts?",Edgar Allan Poe
What happened at the Seneca Falls Convention?,A Declaration of Sentiments listing women's grievances was signed and published.
The rebellion of Nat Turner had all the following effects EXCEPT:,The rebellion inspired other successful uprisings throughout the South.
The Second Great Awakening gave rise to or supported all the following movements EXCEPT:,the Whig Party
All these inventions helped revolutionize the U.S. economy in the early nineteenth century EXCEPT:,the incandescent lightbulb
Which of the following social classes did NOT make up a significant part of Southern society?,Immigrants
Which of the following was the primary reason for the wave of Irish immigration in the 1840s?,Widespread starvation in the wake of the potato famine
"Between 1830 and 1850, the United States gained land that would become all the following present-day states EXCEPT:",North Dakota
The Gold Rush of 1849 had all the following immediate effects on California society EXCEPT:,More and more people turned to farming to make a living.
The Fugitive Slave Act of 1850 made it legal to do which of the following?,Prevent an African American from testifying in his or her own defense
